INFO 2024-05-22 11:30:54,656 autoreload Watching for file changes with StatReloader
DEBUG 2024-05-22 11:30:54,799 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/db/transaction.py first seen with mtime 1716375400.289099
DEBUG 2024-05-22 11:30:54,799 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/core/cache/backends/__init__.py first seen with mtime 1716375400.2713344
DEBUG 2024-05-22 11:30:54,799 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/lib-dynload/unicodedata.cpython-39-darwin.so first seen with mtime 1715025318.538967
DEBUG 2024-05-22 11:30:54,799 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/utils/__init__.py first seen with mtime 1716375400.3364863
DEBUG 2024-05-22 11:30:54,799 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/weakref.py first seen with mtime 1715025241.117385
DEBUG 2024-05-22 11:30:54,799 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/db/models/constants.py first seen with mtime 1716375400.302678
DEBUG 2024-05-22 11:30:54,799 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/contrib/admin/decorators.py first seen with mtime 1716375399.7560706
DEBUG 2024-05-22 11:30:54,799 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/forms/widgets.py first seen with mtime 1716375400.3117318
DEBUG 2024-05-22 11:30:54,799 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/template/defaultfilters.py first seen with mtime 1716375400.3292322
DEBUG 2024-05-22 11:30:54,799 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/utils/encoding.py first seen with mtime 1716375400.3392713
DEBUG 2024-05-22 11:30:54,799 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/utils/topological_sort.py first seen with mtime 1716375400.3426995
DEBUG 2024-05-22 11:30:54,799 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/posixpath.py first seen with mtime 1715025240.593677
DEBUG 2024-05-22 11:30:54,799 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/http/__init__.py first seen with mtime 1716375400.3257084
DEBUG 2024-05-22 11:30:54,800 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/collections/abc.py first seen with mtime 1715025260.031851
DEBUG 2024-05-22 11:30:54,800 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/views/decorators/debug.py first seen with mtime 1716375400.345881
DEBUG 2024-05-22 11:30:54,800 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/dispatch/__init__.py first seen with mtime 1716375400.3098311
DEBUG 2024-05-22 11:30:54,800 autoreload File /Users/chaelee/workspace/sugang_gpt/clipbuddy/manage.py first seen with mtime 1716377453.709213
DEBUG 2024-05-22 11:30:54,800 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/views/decorators/cache.py first seen with mtime 1716375400.3453927
DEBUG 2024-05-22 11:30:54,800 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/urls/base.py first seen with mtime 1716375400.3354857
DEBUG 2024-05-22 11:30:54,800 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/encodings/__init__.py first seen with mtime 1715025260.204211
DEBUG 2024-05-22 11:30:54,800 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/lib-dynload/_bz2.cpython-39-darwin.so first seen with mtime 1716198014.3881664
DEBUG 2024-05-22 11:30:54,800 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/apps/__init__.py first seen with mtime 1716375399.679395
DEBUG 2024-05-22 11:30:54,800 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/urls/utils.py first seen with mtime 1716375400.336314
DEBUG 2024-05-22 11:30:54,800 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/template/context.py first seen with mtime 1716375400.3288963
DEBUG 2024-05-22 11:30:54,800 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/collections/__init__.py first seen with mtime 1715025260.02198
DEBUG 2024-05-22 11:30:54,800 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/http/response.py first seen with mtime 1716375400.3267674
DEBUG 2024-05-22 11:30:54,800 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/email/mime/message.py first seen with mtime 1715025262.331968
DEBUG 2024-05-22 11:30:54,800 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/importlib/machinery.py first seen with mtime 1715025255.590022
DEBUG 2024-05-22 11:30:54,800 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/db/models/options.py first seen with mtime 1716375400.3042672
DEBUG 2024-05-22 11:30:54,800 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/concurrent/futures/thread.py first seen with mtime 1715025260.108896
DEBUG 2024-05-22 11:30:54,800 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/template/defaulttags.py first seen with mtime 1716375400.3295207
DEBUG 2024-05-22 11:30:54,800 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/importlib/util.py first seen with mtime 1715025255.641762
DEBUG 2024-05-22 11:30:54,800 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/lib-dynload/select.cpython-39-darwin.so first seen with mtime 1715025312.376235
DEBUG 2024-05-22 11:30:54,800 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/db/models/expressions.py first seen with mtime 1716375400.3034563
DEBUG 2024-05-22 11:30:54,800 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/wsgiref/simple_server.py first seen with mtime 1715025265.937597
DEBUG 2024-05-22 11:30:54,800 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/db/models/__init__.py first seen with mtime 1716375400.301996
DEBUG 2024-05-22 11:30:54,800 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/lib-dynload/_contextvars.cpython-39-darwin.so first seen with mtime 1715025309.861136
DEBUG 2024-05-22 11:30:54,800 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/ntpath.py first seen with mtime 1715025240.468266
DEBUG 2024-05-22 11:30:54,801 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/core/servers/__init__.py first seen with mtime 1716375400.2886043
DEBUG 2024-05-22 11:30:54,801 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/utils/log.py first seen with mtime 1716375400.340993
DEBUG 2024-05-22 11:30:54,801 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/_weakrefset.py first seen with mtime 1715025239.895215
DEBUG 2024-05-22 11:30:54,801 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/utils/autoreload.py first seen with mtime 1716375400.3372402
DEBUG 2024-05-22 11:30:54,801 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/utils/deconstruct.py first seen with mtime 1716375400.3387287
DEBUG 2024-05-22 11:30:54,801 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/email/utils.py first seen with mtime 1715025262.257184
DEBUG 2024-05-22 11:30:54,801 autoreload File /Users/chaelee/workspace/sugang_gpt/clipbuddy/clipbuddy/__init__.py first seen with mtime 1716375622.2054727
DEBUG 2024-05-22 11:30:54,801 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/contrib/contenttypes/__init__.py first seen with mtime 1716375399.9547925
DEBUG 2024-05-22 11:30:54,801 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/asyncio/subprocess.py first seen with mtime 1715025259.12348
DEBUG 2024-05-22 11:30:54,801 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/core/exceptions.py first seen with mtime 1716375400.2699447
DEBUG 2024-05-22 11:30:54,801 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/forms/forms.py first seen with mtime 1716375400.3107939
DEBUG 2024-05-22 11:30:54,801 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/subprocess.py first seen with mtime 1715025240.918191
DEBUG 2024-05-22 11:30:54,801 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/contrib/admin/views/__init__.py first seen with mtime 1716375399.866922
DEBUG 2024-05-22 11:30:54,801 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/zoneinfo/__init__.py first seen with mtime 1715025272.528187
DEBUG 2024-05-22 11:30:54,801 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/db/migrations/operations/__init__.py first seen with mtime 1716375400.3011966
DEBUG 2024-05-22 11:30:54,801 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/utils/termcolors.py first seen with mtime 1716375400.3419015
DEBUG 2024-05-22 11:30:54,801 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/core/cache/__init__.py first seen with mtime 1716375400.2710233
DEBUG 2024-05-22 11:30:54,801 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/db/models/sql/subqueries.py first seen with mtime 1716375400.309545
DEBUG 2024-05-22 11:30:54,801 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/contrib/contenttypes/management/__init__.py first seen with mtime 1716375399.9910781
DEBUG 2024-05-22 11:30:54,801 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/urls/converters.py first seen with mtime 1716375400.3357723
DEBUG 2024-05-22 11:30:54,801 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/db/migrations/utils.py first seen with mtime 1716375400.300834
DEBUG 2024-05-22 11:30:54,801 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/utils/safestring.py first seen with mtime 1716375400.341725
DEBUG 2024-05-22 11:30:54,802 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/gettext.py first seen with mtime 1715025240.285779
DEBUG 2024-05-22 11:30:54,802 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/_collections_abc.py first seen with mtime 1715025239.806833
DEBUG 2024-05-22 11:30:54,802 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/core/validators.py first seen with mtime 1716375400.2705712
DEBUG 2024-05-22 11:30:54,802 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/forms/utils.py first seen with mtime 1716375400.311507
DEBUG 2024-05-22 11:30:54,802 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/secrets.py first seen with mtime 1715025240.745084
DEBUG 2024-05-22 11:30:54,802 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/uu.py first seen with mtime 1715025241.087739
DEBUG 2024-05-22 11:30:54,802 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/enum.py first seen with mtime 1715025240.195618
DEBUG 2024-05-22 11:30:54,802 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/email/_policybase.py first seen with mtime 1715025262.053961
DEBUG 2024-05-22 11:30:54,802 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/utils/duration.py first seen with mtime 1716375400.339116
DEBUG 2024-05-22 11:30:54,802 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/contextlib.py first seen with mtime 1715025240.101256
DEBUG 2024-05-22 11:30:54,802 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/db/backends/utils.py first seen with mtime 1716375400.2898648
DEBUG 2024-05-22 11:30:54,802 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/core/servers/basehttp.py first seen with mtime 1716375400.2887924
DEBUG 2024-05-22 11:30:54,802 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/_compat_pickle.py first seen with mtime 1715025239.815797
DEBUG 2024-05-22 11:30:54,802 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/db/models/indexes.py first seen with mtime 1716375400.3036253
DEBUG 2024-05-22 11:30:54,802 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/core/files/locks.py first seen with mtime 1716375400.2762702
DEBUG 2024-05-22 11:30:54,802 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/contrib/__init__.py first seen with mtime 1716375399.7550578
DEBUG 2024-05-22 11:30:54,802 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/ipaddress.py first seen with mtime 1715025240.379453
DEBUG 2024-05-22 11:30:54,802 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/asgiref/local.py first seen with mtime 1716375399.635287
DEBUG 2024-05-22 11:30:54,802 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/asyncio/selector_events.py first seen with mtime 1715025259.081997
DEBUG 2024-05-22 11:30:54,802 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/utils/timezone.py first seen with mtime 1716375400.3425357
DEBUG 2024-05-22 11:30:54,803 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/core/checks/compatibility/django_4_0.py first seen with mtime 1716375400.2747195
DEBUG 2024-05-22 11:30:54,803 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/templatetags/i18n.py first seen with mtime 1716375400.3327801
DEBUG 2024-05-22 11:30:54,803 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/asyncio/base_futures.py first seen with mtime 1715025258.873896
DEBUG 2024-05-22 11:30:54,803 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/hmac.py first seen with mtime 1715025240.331009
DEBUG 2024-05-22 11:30:54,803 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/dispatch/dispatcher.py first seen with mtime 1716375400.3099685
DEBUG 2024-05-22 11:30:54,803 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/tempfile.py first seen with mtime 1715025240.979997
DEBUG 2024-05-22 11:30:54,803 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/views/debug.py first seen with mtime 1716375400.3446288
DEBUG 2024-05-22 11:30:54,803 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/template/loaders/base.py first seen with mtime 1716375400.331903
DEBUG 2024-05-22 11:30:54,803 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/genericpath.py first seen with mtime 1715025240.262855
DEBUG 2024-05-22 11:30:54,803 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/db/models/sql/query.py first seen with mtime 1716375400.309385
DEBUG 2024-05-22 11:30:54,803 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/lib-dynload/_decimal.cpython-39-darwin.so first seen with mtime 1715025321.314513
DEBUG 2024-05-22 11:30:54,803 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/db/models/fields/json.py first seen with mtime 1716375400.3060334
DEBUG 2024-05-22 11:30:54,803 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/core/mail/__init__.py first seen with mtime 1716375400.280094
DEBUG 2024-05-22 11:30:54,803 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/contrib/messages/storage/base.py first seen with mtime 1716375400.126693
DEBUG 2024-05-22 11:30:54,803 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/decimal.py first seen with mtime 1715025240.164745
DEBUG 2024-05-22 11:30:54,803 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/views/generic/__init__.py first seen with mtime 1716375400.3465
DEBUG 2024-05-22 11:30:54,803 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/html/parser.py first seen with mtime 1715025263.848568
DEBUG 2024-05-22 11:30:54,803 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/zoneinfo/_tzpath.py first seen with mtime 1715025272.54689
DEBUG 2024-05-22 11:30:54,803 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/site-packages/django/template/loaders/filesystem.py first seen with mtime 1716375400.3321898
DEBUG 2024-05-22 11:30:54,803 autoreload File /Users/chaelee/anaconda3/envs/sugang_gpt/lib/python3.9/codecs.py first seen with mtime 1715025240.064206
